isin,name,asset_type,asset_subtype,risk_bucket,confidence,has_cv2,has_pev2,has_asset_mix,has_eco_expo,has_ms,has_derived,mix_scale,eco_scale,mix_equity,mix_bond,mix_cash,mix_other,mix_sum,eco_equity,eco_bond,eco_cash,eco_other,eco_sum,retrocession,issue_count,top_severity
ES0141116030,Hamco Global Value Fund R FI,equity,GLOBAL_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.8417,0.1232,0.0246,0.0105,1.0000,100,0,0,0,100.0000,0.34,1,BLOCKER
ES0141580037,SIH Ahorro A FI,fixed_income,CORPORATE_BOND,LOW,0.90,Y,Y,Y,Y,Y,Y,0-1,0-100,0,0.9679,0.0087,0.0234,1.0000,0,100,0,0,100.0000,0.47,1,BLOCKER
ES0141991002,Gestión Talento FI,equity,GLOBAL_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.6906,0.0316,0.0103,0.2675,1.0000,100,0,0,0,100.0000,1.11,2,BLOCKER
ES0142046038,Gesem Agresivo Flexible FI,MIXED,MODERATE_ALLOCATION,MEDIUM,0.88,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,50,50,0,0,100.0000,0,0,OK
ES0142167032,SIH Renta Fija A FI,fixed_income,CORPORATE_BOND,LOW,0.90,Y,Y,Y,Y,Y,Y,0-1,0-100,0,0.956,0.0073,0.0367,1.0000,0,100,0,0,100.0000,1.12,2,BLOCKER
ES0146309002,Horos Value Internacional FI,equity,GLOBAL_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.8723,0,0.1112,0.0165,1.0000,100,0,0,0,100.0000,0,1,BLOCKER
ES0148181003,Indexa RV mixta internacional 75 FI,MIXED,AGGRESSIVE_ALLOCATION,HIGH,0.92,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,80,20,0,0,100.0000,0,0,OK
ES0155142005,Intermoney Variable Euro A FI,equity,GLOBAL_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,1,0,0,0,1.0000,100,0,0,0,100.0000,0,1,BLOCKER
ES0155598008,UBS Corto Plazo A FI,FIXED_INCOME,CORPORATE_BOND,LOW,0.95,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0,0,OK
ES0155598032,UBS Corto Plazo B FI,FIXED_INCOME,CORPORATE_BOND,LOW,0.95,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0,0,OK
ES0156873004,A&G Renta Fija Corto Plazo FI,FIXED_INCOME,CORPORATE_BOND,LOW,0.95,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0,0,OK
ES0158600033,SIH Flex Global FI,allocation,FLEXIBLE_ALLOCATION,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.0807,0.8059,0.0391,0.0744,1.0001,50,50,0,0,100.0000,0,1,BLOCKER
ES0159201013,Magallanes Iberian Equity M FI,equity,GLOBAL_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.9145,0,0.0855,0,1.0000,100,0,0,0,100.0000,0,1,BLOCKER
ES0159259011,Magallanes European Equity M FI,equity,EUROPE_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.9208,0,0.0792,0,1.0000,100,0,0,0,100.0000,0,1,BLOCKER
ES0160873008,March Pagarés A FI,FIXED_INCOME,CORPORATE_BOND,LOW,0.97,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0,0,OK
ES0161032034,March Renta Fija Corto Plazo A FI,FIXED_INCOME,CORPORATE_BOND,LOW,0.97,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0,0,OK
ES0161992005,SIH Capital FI,allocation,FLEXIBLE_ALLOCATION,LOW,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.2453,0.6839,0,0.0783,1.0075,20,80,0,0,100.0000,1.37,2,BLOCKER
ES0162211033,Merch-Eurounión FI,allocation,FLEXIBLE_ALLOCATION,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.7376,0.197,0,0.0654,1.0000,50,50,0,0,100.0000,0,1,BLOCKER
ES0162295002,Cartera Renta Fija Horizonte 2027 FI,fixed_income,CORPORATE_BOND,LOW,0.90,Y,Y,Y,Y,Y,Y,0-1,0-100,0,0.98,0,0.02,1.0000,0,100,0,0,100.0000,0.52,1,BLOCKER
ES0162296000,Cartera Renta Fija Horizonte 2028 FI,fixed_income,CORPORATE_BOND,LOW,0.90,Y,Y,Y,Y,Y,Y,0-1,0-100,0,0.9607,0.0393,0,1.0000,0,100,0,0,100.0000,0.52,1,BLOCKER
ES0162305033,Merch-Oportunidades FI,MIXED,FLEXIBLE_ALLOCATION,HIGH,0.93,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,50,50,0,0,100.0000,0.97,0,OK
ES0162332037,Merchfondo FI,equity,GLOBAL_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.969556,0.016579,0,0.013865,1.0000,100,0,0,0,100.0000,1.07,2,BLOCKER
ES0162333035,Merchrenta FI,fixed_income,CORPORATE_BOND,LOW,0.90,Y,Y,Y,Y,Y,Y,0-1,0-100,0,0.8422,0.0943,0.0635,1.0000,0,100,0,0,100.0000,0.72,1,BLOCKER
ES0162368007,Metavalor Internacional I FI,equity,GLOBAL_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.8754,0,0.1246,0,1.0000,100,0,0,0,100.0000,0,1,BLOCKER
ES0162946034,Abante Selección FI,MIXED,MODERATE_ALLOCATION,MEDIUM,0.88,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,50,50,0,0,100.0000,0,0,OK
ES0162949012,Abante Índice Selección A FI,MIXED,MODERATE_ALLOCATION,MEDIUM,0.88,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,50,50,0,0,100.0000,0,0,OK
ES0165142003,Mutuafondo Corto Plazo D FI,fixed_income,CORPORATE_BOND,LOW,0.90,Y,Y,Y,Y,Y,Y,0-1,0-100,0,0.8879,0.1121,0,1.0000,0,100,0,0,100.0000,0,1,BLOCKER
ES0165142037,Mutuafondo Corto Plazo A FI,FIXED_INCOME,CORPORATE_BOND,LOW,0.97,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0,0,OK
ES0165237001,Mutuafondo D FI,fixed_income,CORPORATE_BOND,LOW,0.90,Y,Y,Y,Y,Y,Y,0-1,0-100,0,0.980777,0,0.019223,1.0000,0,100,0,0,100.0000,0,1,BLOCKER
ES0165242001,Myinvestor S&P500 Equiponderado FI,equity,US_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,1,0,0,0,1.0000,100,0,0,0,100.0000,0,1,BLOCKER
ES0165243025,Myinvestor Value C FI,equity,EUROPE_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.9574,0.0187,0,0.0239,1.0000,100,0,0,0,100.0000,0,1,BLOCKER
ES0167238023,Estela Global Equities R FI,equity,GLOBAL_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.9046,0.0757,0,0.0197,1.0000,100,0,0,0,100.0000,1.25,2,BLOCKER
ES0168662031,Trea Renta Fija FI,fixed_income,CORPORATE_BOND,LOW,0.90,Y,Y,Y,Y,Y,Y,0-1,0-100,0,0.9422,0.0578,0,1.0000,0,100,0,0,100.0000,0.38,1,BLOCKER
ES0168673038,EDM Ahorro R FI,FIXED_INCOME,CORPORATE_BOND,LOW,0.97,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0,0,OK
ES0168797092,Gestión Boutique II JPB Growth FI,equity,GLOBAL_EQUITY,HIGH,0.87,Y,Y,Y,Y,Y,Y,0-1,0-100,0.6944,0,0.2226,0.083,1.0000,100,0,0,0,100.0000,0,1,BLOCKER
ES0168799056,Gestión Boutique IV Alclam US Equities FI,equity,US_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.9479,0,0.013,0.0391,1.0000,100,0,0,0,100.0000,0.47,1,BLOCKER
ES0170138038,Santalucía Renta Fija B FI,fixed_income,CORPORATE_BOND,LOW,0.90,Y,Y,Y,Y,Y,Y,0-1,0-100,0,0.9866,0,0.0187,1.0053,0,100,0,0,100.0000,0.45,1,BLOCKER
ES0170141008,Santalucía Quality Acciones Europeas B FI,equity,EUROPE_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.978,0,0.022,0,1.0000,100,0,0,0,100.0000,0,1,BLOCKER
ES0170156030,Santalucía Renta Fija Corto Plazo Euro B FI,FIXED_INCOME,CORPORATE_BOND,LOW,0.97,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0.13,0,OK
ES0170865002,SIH Healthcare A FI,equity,SECTOR_EQUITY_HEALTHCARE,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.9669,0.0108,0,0.0223,1.0000,100,0,0,0,100.0000,1.47,2,BLOCKER
ES0173323009,Renta 4 Wertefinder FI,MIXED,FLEXIBLE_ALLOCATION,HIGH,0.92,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,50,50,0,0,100.0000,0,0,OK
ES0175316019,Dunas Valor Flexible R FI,alternative,UNKNOWN,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.2839,0.5179,0.1616,0.0366,1.0000,0,0,0,100,100.0000,0.74,1,BLOCKER
ES0175414012,Dunas Valor Equilibrado R FI,alternative,UNKNOWN,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.0915,0.6834,0.2016,0.0235,1.0000,0,0,0,100,100.0000,0,1,BLOCKER
ES0175437005,Dunas Valor Prudente R FI,alternative,UNKNOWN,HIGH,0.97,Y,Y,Y,Y,Y,Y,0-1,0-100,0.0112,0.7454,0.2221,0.0213,1.0000,0,0,0,100,100.0000,0.42,1,BLOCKER
ES0175604000,Gesconsult León Valores Mixto Flexible B FI,allocation,FLEXIBLE_ALLOCATION,MEDIUM,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.4998,0.4622,0.038,0,1.0000,50,50,0,0,100.0000,0,1,BLOCKER
ES0175604034,Gesconsult León Valores Mixto Flexible A FI,MIXED,MODERATE_ALLOCATION,MEDIUM,0.93,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,50,50,0,0,100.0000,0,0,OK
ES0176954008,Renta 4 Renta Fija R FI,fixed_income,CORPORATE_BOND,LOW,0.90,Y,Y,Y,Y,Y,Y,0-1,0-100,0,0.8521,0.1465,0.0014,1.0000,0,100,0,0,100.0000,0.27,1,BLOCKER
ES0182105033,Merch-Universal FI,allocation,FLEXIBLE_ALLOCATION,MEDIUM,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.561,0.3668,0.0236,0.0486,1.0000,50,50,0,0,100.0000,1.22,2,BLOCKER
ES0182631004,Polar Renta Fija A FI,FIXED_INCOME,CORPORATE_BOND,LOW,0.97,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0,0,OK
ES0182769002,Valentum E FI,equity,EUROPE_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.962,0,0.038,0,1.0000,100,0,0,0,100.0000,0,1,BLOCKER
ES0184894006,Myinvestor ACWI FI,equity,GLOBAL_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,1,0,0.0006,0,1.0006,100,0,0,0,100.0000,0,1,BLOCKER
ES0184949008,Sigma Investment House Megatrends A FI,equity,GLOBAL_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.9819,0.0004,0.0067,0.011,1.0000,100,0,0,0,100.0000,1.2,2,BLOCKER
ES0184949016,Sigma Investment House Megatrends B FI,equity,GLOBAL_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.9728,0.0003,0.0073,0.0196,1.0000,100,0,0,0,100.0000,0,1,BLOCKER
FI0008800511,Evli Short Corporate Bond B,FIXED_INCOME,CORPORATE_BOND,LOW,0.97,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0,0,OK
FI0008801097,Evli Corporate Bond B,FIXED_INCOME,CORPORATE_BOND,LOW,0.97,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0,0,OK
FI0008803929,Evli European High Yield B,FIXED_INCOME,HIGH_YIELD_BOND,MEDIUM,0.97,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0,0,OK
FI0008804463,Evli Euro Liquidity B,MONETARY,UNKNOWN,LOW,0.95,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,0,100,0,100.0000,0,1,MEDIUM
FI0008811997,Evli Nordic Corporate Bond B,fixed_income,CORPORATE_BOND,LOW,0.90,Y,Y,Y,Y,Y,Y,0-1,0-100,0,0.9458,0.0523,0.0019,1.0000,0,100,0,0,100.0000,0,1,BLOCKER
FR0000174310,Lazard Small Caps Euro SRI I,equity,GLOBAL_SMALL_CAP_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.9741,0,0.0273,0,1.0014,100,0,0,0,100.0000,0,1,BLOCKER
FR0000989626,Groupama Trésorerie IC,money_market,MONEY_MARKET,LOW,0.90,Y,Y,Y,Y,Y,Y,0-1,0-100,0,0.1517,0.8483,0,1.0000,0,0,100,0,100.0000,0,1,BLOCKER
FR0000989899,Oddo BHF Avenir CR-EUR,equity,GLOBAL_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.8862,0.0221,0.0917,0,1.0000,100,0,0,0,100.0000,0,1,BLOCKER
FR0000989915,Oddo BHF Immobilier CR-EUR,real_asset,UNKNOWN,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.9794,0.0049,0.0093,0.0064,1.0000,0,0,0,100,100.0000,0,2,BLOCKER
FR0007008750,R-co Conviction Credit Euro C EUR,FIXED_INCOME,CORPORATE_BOND,LOW,0.97,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0,0,OK
FR0010041822,Edmond de Rothschild Patrimoine A,MIXED,CONSERVATIVE_ALLOCATION,LOW,0.93,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,20,80,0,0,100.0000,0,0,OK
FR0010148981,Carmignac Investissement A EUR Acc,equity,GLOBAL_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.9773,0,0.0227,0,1.0000,100,0,0,0,100.0000,0,1,BLOCKER
FR0010149120,Carmignac Sécurité AW EUR Acc,fixed_income,CORPORATE_BOND,LOW,0.90,Y,Y,Y,Y,Y,Y,0-1,0-100,0,0.7217,0.2721,0.0062,1.0000,0,100,0,0,100.0000,0.49,1,BLOCKER
FR0010172767,EdR SICAV - Euro Sustainable Credit A EUR,FIXED_INCOME,CORPORATE_BOND,LOW,0.97,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0,0,OK
FR0010230490,Lazard Credit Opportunities RC EUR,fixed_income,CORPORATE_BOND,LOW,0.90,Y,Y,Y,Y,Y,Y,0-1,0-100,0,0.3671,0.5971,0.0358,1.0000,0,100,0,0,100.0000,0,1,BLOCKER
FR0010286013,Sextant Grand Large A,allocation,FLEXIBLE_ALLOCATION,MEDIUM,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.4261,0.4539,0.1046,0.0153,0.9999,50,50,0,0,100.0000,0,1,BLOCKER
FR0010288308,Groupama Avenir Euro NC,equity,THEMATIC_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.9983,0,0.0017,0,1.0000,100,0,0,0,100.0000,0,1,BLOCKER
FR0010306142,Carmignac Patrimoine E EUR Acc,MIXED,MODERATE_ALLOCATION,MEDIUM,0.88,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,50,50,0,0,100.0000,1.18,1,MEDIUM
FR0010312660,Carmignac Investissement E EUR Acc,equity,GLOBAL_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.8973,0,0.1027,0,1.0000,100,0,0,0,100.0000,0,1,BLOCKER
FR0010321810,Echiquier Agenor SRI Mid Cap Europe A,equity,THEMATIC_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.9671,0.0001,0.033,0,1.0002,100,0,0,0,100.0000,0,1,BLOCKER
FR0010547869,Sextant PME A,equity,THEMATIC_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.9743,0.0002,0.0253,0.0001,0.9999,100,0,0,0,100.0000,0,1,BLOCKER
FR0010722348,Groupama Global Active Equity NC,EQUITY,GLOBAL_EQUITY,HIGH,0.93,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,100,0,0,0,100.0000,0,0,OK
FR0010794792,Candriam Diversified Futures Classique,ALTERNATIVE,UNKNOWN,HIGH,0.91,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,0,0,100,100.0000,0,0,OK
FR0010829697,Amundi Enhanced Ultra Short Term Bond Select P-C,FIXED_INCOME,CORPORATE_BOND,LOW,0.95,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0,0,OK
FR0010839282,Echiquier Short Term Credit SRI A,FIXED_INCOME,CORPORATE_BOND,LOW,0.97,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0,0,OK
FR0010859769,Echiquier World Equity Growth A,equity,GLOBAL_EQUITY,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.9653,0,0.0331,0.0016,1.0000,100,0,0,0,100.0000,0,1,BLOCKER
FR0010950055,AXA IM Euro 6M E,FIXED_INCOME,CORPORATE_BOND,LOW,0.95,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,100,0,0,100.0000,0,0,OK
FR0011170182,Ofi Invest Precious Metals R,COMMODITIES,UNKNOWN,HIGH,0.95,Y,Y,N,Y,Y,Y,NONE,0-100,,,,,,0,0,0,100,100.0000,0.6,0,OK
FR0011253624,R-co Valor C EUR,allocation,FLEXIBLE_ALLOCATION,HIGH,0.99,Y,Y,Y,Y,Y,Y,0-1,0-100,0.7272,0.0468,0.221,0.005,1.0000,50,50,0,0,100.0000,0.71,1,BLOCKER
